object_id,nome,tipo,costellazione,magnitudine,ascensione_retta,declinazione,dimensione_apparente,max_angular_size_deg,recommended_observation_type,best_filter_class,fallback_filter_class,optional_color_filter_class,imaging_reducer_recommended,descrizione
messier-M44,Beehive Cluster or Praesepe,Open cluster,Cancer,3.7,08h 40.4m,+19° 59′,95′,1.583,WideField,,,,1,M44 (NGC 2632) - Open cluster in Cancer.
messier-M45,"Pleiades, Seven Sisters or Subaru",Open cluster,Taurus,1.6,03h 47m 24s,+24° 07′ 00″,2°,2.000,WideField,,,,1,M45 - Open cluster in Taurus.
messier-M46,M46,Open cluster,Puppis,6.0,07h 41.8m,-14° 49′,22.8′,0.380,WideField,,,,1,M46 (NGC 2437) - Open cluster in Puppis.
messier-M47,M47,Open cluster,Puppis,4.4,07h 36.6m,-14° 30′,30′,0.500,WideField,,,,1,M47 (NGC 2422) - Open cluster in Puppis.
messier-M48,M48,Open cluster,Hydra,5.5,08h 13.7m,-05° 45′,30′,0.500,WideField,,,,1,M48 (NGC 2548) - Open cluster in Hydra.
messier-M49,M49,Elliptical galaxy,Virgo,8.4,12h 29m 46.7s,+08° 00′ 02″,10.2′ × 8.3′,0.170,General,,,,0,M49 (NGC 4472) - Elliptical galaxy in Virgo.
messier-M50,Heart-Shaped Cluster,Open cluster,Monoceros,5.9,07h 03.2m,-08° 20′,16′,0.267,General,,,,0,M50 (NGC 2323) - Open cluster in Monoceros.
messier-M51,Whirlpool Galaxy,Spiral galaxy,Canes Venatici,8.4,13h 29m 52.7s,+47° 11′ 43″,11.2′ × 6.9′,0.187,General,,,,0,"M51 (NGC 5194,NGC 5195) - Spiral galaxy in Canes Venatici."
messier-M52,Scorpion Cluster,Open cluster,Cassiopeia,7.3,23h 24.2m,+61° 35′,13′,0.217,General,,,,0,M52 (NGC 7654) - Open cluster in Cassiopeia.
messier-M53,M53,Globular cluster,Coma Berenices,7.6,13h 12m 55.3s,+18° 10′ 05.4″,13′,0.217,General,,,,0,M53 (NGC 5024) - Globular cluster in Coma Berenices.
messier-M54,M54,Globular cluster,Sagittarius,7.6,18h 55m 03.3s,-30° 28′ 47.5″,12′,0.200,General,,,,0,M54 (NGC 6715) - Globular cluster in Sagittarius.
messier-M55,Specter Cluster,Globular cluster,Sagittarius,6.3,19h 39m 59.7s,-30° 57′ 53.1″,19′,0.317,General,,,,0,M55 (NGC 6809) - Globular cluster in Sagittarius.
messier-M56,M56,Globular cluster,Lyra,8.3,19h 16m 35.6s,+30° 11′ 00.5″,8.8′,0.147,HighMagnification,,,,0,M56 (NGC 6779) - Globular cluster in Lyra.
